Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
amdp_zert_time_v2,combined_questionnaire_2,,radio,"Falls Sie über eine AMDP-Zertifizierung verfügen: Wie lange liegt diese zurück?
(Nach einem gesondertem 1,5 tägigem AMDP-Seminar durch den AMDP e.V. gelten Sie als zertifiziert.)","0, Keine Zertifizierung | 1, Weniger als 1 Jahr | 2, 1-2 Jahre | 3, 2-3 Jahre | 4, 3-4 Jahre | 5, 4-5 Jahre | 6, Mehr als 5 Jahre",,,,,,,,,,,,
count_intern_seminars,combined_questionnaire_2,,radio,"Wie viele klinikinterne AMDP-Fallseminare haben Sie (auch in anderen Kliniken) bisher ungefähr besucht?
(Wichtig: Gemeint sind interne Fallseminare zur Anwendung des AMDP-Systems - nicht die offizielle Zertifizierungsschulung.)","0, 0 | 1, 1-5 | 2, 5-10 | 3, 10-20 | 4, 20-50 | 5, mehr als 50 | -99, Kann ich nicht einschätzen",,,,,,,,,,,,
amdp_usage_v2,combined_questionnaire_2,Stellenwert des AMDP-Systems im klinischen Alltag,checkbox,In welchen Kontexten verwenden Sie das AMDP-System hauptsächlich? (Mehrfachauswahl möglich),"0, Aufnahmegespräche | 1, Verlaufskontrollen | 2, Entlassgespräch | 3, Supervision / Ausbildung | 4, Dokumentation / Berichte | 5, Forschung | 6, Sonstige | -99, Nie",,,,,,,,,,,,
amdp_importance_v2,combined_questionnaire_2,,radio,Wie wichtig ist Ihnen das AMDP-System für die strukturierte Erfassung psychopathologischer Befunde?,"4, Sehr wichtig | 3, Eher wichtig | 2, Neutral | 1, Eher unwichtig | 0, Überhaupt nicht wichtig | -99, Keine Aussage",,,,,,,,,,,,
amdp_clinicalaspects_v2,combined_questionnaire_2,,radio,Deckt das AMDP-System Ihrer Einschätzung nach alle klinisch relevanten Aspekte der psychopathologischen Befunderhebung ausreichend ab?,"4, Ja, vollständig | 3, Größtenteils | 2, Teilweise | 1, Eher nicht | 0, Nein, es fehlen viele relevante Aspekte | -99, Keine Aussage",,,,,,,,,,,,
amdp_betterinstrument_v2,combined_questionnaire_2,,checkbox,"Welches Instrument zur Erhebung psychopathologischer Befunde würden Sie persönlich im klinischen Alltag bevorzugt einsetzen, wenn Sie frei wählen könnten?
(Bitte wählen Sie eines oder mehrere aus. Gerne können Sie auch ein Instrument ergänzen.)
","1, AMDP-System | 2, Freie Exploration ohne strukturiertes Instrument | 3, ICD-10/ICD-11 Kriterien | 4, DSM-5 | 5, OPD (Operationalisierte Psychodynamische Diagnostik) | 6, MINI (Mini International Neuropsychiatric Interview) | 7, CGI (Clinical Global Impression) | 8, SCL-90 | 9, Andere",,,,,,,,,,,,
amdp_betterinst_other,combined_questionnaire_2,,text,Welche anderen/anderes Instrument/e würden Sie nutzen? (Bitte Instrumente mit Komma trennen.),,,,,,,[amdp_betterinstrument_v2(9)] = '1',,,,,,
ki_nutzen_v2,combined_questionnaire_2,,checkbox,In welchen Bereichen der psychiatrischen Versorgung empfinden Sie den Einsatz von Künstlicher Intelligenz (KI) als eine sinnvolle Ergänzung? (Mehrfachauswahl möglich.),"0, Erhebung psychopathologischer Befunde | 1, Automatische Erstellung von Arztbriefen / Dokumentation | 2, Unterstützung bei der somatischen Befundung (z. B. KI als Helfersystem außerhalb ärztlicher Fachkompetenz) | 3, Entscheidungsunterstützung bei Diagnosestellung (z. B. Screening auf Depressivität, Suizidalität) | 4, Verlaufskontrolle (z. B. Analyse von Sprache, Mimik, Bewegungsmustern über Zeit) | 5, Patientenscreening / Triage in Ambulanzen oder Notaufnahmen | 6, Unterstützung in der Medikationsempfehlung (z. B. auf Basis von bisherigen Daten, Genetik) | 7, Risikoabschätzung (z. B. Rückfallrisiken, Suizid, Gewaltpotenzial) | 8, Planung und Individualisierung von Therapieplänen | 9, Keine sinnvolle Anwendung erkennbar | 10, Sonstige | -99, Keine Angabe",,,,,,,,,,,,
ki_nutzen_other_v2,combined_questionnaire_2,,text,In welchen anderen Bereichen der psychiatrischen Versorgung empfinden Sie den Einsatz von KI als eine sinnvolle Ergänzung? ,,,,,,,[ki_nutzen_v2(10)] = '1',,,,,,
amdp_ki_v2,combined_questionnaire_2,,radio,"Wären Sie grundsätzlich offen für die digitale, KI-gestützte AMDP-Befunderhebung?","1, Ja | 2, Unter bestimmten Bedingungen | 3, Nein | -99, keine Aussage",,,,,,,,,,,,
sp_id_final,combined_questionnaire_final,,text,"Geben Sie die Simulationspatienten-ID, welche zu Beginn des Videos eingeblendet wird an.
(Bitte die Zahl angeben, z. B. 10.)",,,integer,0.0,90.0,y,,y,,,,,
on_off_bewusstsein,combined_questionnaire_final,Bewusstseinsstörungen,radio,Bewusstseinsstörungen,"1, ausklappen",,,,,,,,,,,,
p1_bewusstseinsverminderung_final,combined_questionnaire_final,,radio,1. Bewusstseinsverminderung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_bewusstsein] = 1,,,,mg_b12548_final,,
p2_bewusstseinstrübung_final,combined_questionnaire_final,,radio,2. Bewusstseinstrübung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_bewusstsein] = 1,,,,mg_b12548_final,,
p3_bewusstseinseinengung_final,combined_questionnaire_final,,radio,3. Bewusstseinseinengung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_bewusstsein] = 1,,,,mg_b12548_final,,
p4_bewusstseinsverschiebung_final,combined_questionnaire_final,,radio,4. Bewusstseinsverschiebung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_bewusstsein] = 1,,,,mg_b12548_final,,
on_off_orientierung_2,combined_questionnaire_final,Orientierungsstörungen,radio,Orientierungsstörungen,"1, ausklappen",,,,,,,,,,,,
p5_zeitliche_orientierungsstörung_final,combined_questionnaire_final,,radio,5. zeitliche Orientierungsstörung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_orientierung_2] = 1,,,,mg_709e42_final,,
p6_örtliche_orientierungsstörung_final,combined_questionnaire_final,,radio,6. örtliche Orientierungsstörung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_orientierung_2] = 1,,,,mg_709e42_final,,
p7_situative_orientierungsstörung_final,combined_questionnaire_final,,radio,7. situative Orientierungsstörung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_orientierung_2] = 1,,,,mg_709e42_final,,
p8_orientierungsstörung_eigene_person_final,combined_questionnaire_final,,radio,8. Orientierungsstörung über die eigene Person,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_orientierung_2] = 1,,,,mg_709e42_final,,
on_off_auf_3,combined_questionnaire_final,Aufmerksamkeits- und Gedächtnisstörungen,radio,Aufmerksamkeits- und Gedächtnisstörungen,"1, ausklappen",,,,,,,,,,,,
p9_auffassungsstörungen_final,combined_questionnaire_final,,radio,9. Auffassungsstörungen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_auf_3] = 1,,,,mg_ff547d_final,,
p10_konzentrationsstörungen_final,combined_questionnaire_final,,radio,10. Konzentrationsstörungen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_auf_3] = 1,,,,mg_ff547d_final,,
p11_merkfähigkeitsstörungen_final,combined_questionnaire_final,,radio,11. Merkfähigkeitsstörungen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_auf_3] = 1,,,,mg_ff547d_final,,
p12_gedächtnisstörungen_final,combined_questionnaire_final,,radio,12. Gedächtnisstörungen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_auf_3] = 1,,,,mg_ff547d_final,,
p13_konfabulationen_final,combined_questionnaire_final,,radio,13. Konfabulationen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_auf_3] = 1,,,,mg_ff547d_final,,
p14_paramnesien_final,combined_questionnaire_final,,radio,14. Paramnesien,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_auf_3] = 1,,,,mg_ff547d_final,,
on_off_denk_4,combined_questionnaire_final,Formale Denkstörungen,radio,Formale Denkstörungen,"1, ausklappen",,,,,,,,,,,,
p15_gehemmt_final,combined_questionnaire_final,,radio,15. gehemmt,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p16_verlangsamt_final,combined_questionnaire_final,,radio,16. verlangsamt,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p17_umständlich_final,combined_questionnaire_final,,radio,17. umständlich,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p18_eingeengt_final,combined_questionnaire_final,,radio,18. eingeengt,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p19_perseverierend_final,combined_questionnaire_final,,radio,19. perseverierend,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p20_grüblen_final,combined_questionnaire_final,,radio,20. grübeln,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p21_gedankendrängen_final,combined_questionnaire_final,,radio,21. Gedankendrängen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p22_ideenflüchtig_final,combined_questionnaire_final,,radio,22. ideenflüchtig,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p23_vorbeireden_final,combined_questionnaire_final,,radio,23. vorbeireden,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p24_gesperrt_gedankenabreissen_final,combined_questionnaire_final,,radio,24. gesperrt/Gedankenabreißen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p25_inkohärent_zerfahren_final,combined_questionnaire_final,,radio,25. inkohärent/zerfahren,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
p26_neologismen_final,combined_questionnaire_final,,radio,26. Neologismen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_denk_4] = 1,,,,mg_55c49f_final,,
on_zwang_denk_5,combined_questionnaire_final,Befürchtungen und Zwänge,radio,Befürchtungen und Zwänge,"1, ausklappen",,,,,,,,,,,,
p27_misstraün_final,combined_questionnaire_final,,radio,27. Misstrauen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_zwang_denk_5] = 1,,,,mg_b31aae_final,,
p28_hypochondrie_final,combined_questionnaire_final,,radio,28. Hypochondrie,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_zwang_denk_5] = 1,,,,mg_b31aae_final,,
p29_phobien_final,combined_questionnaire_final,,radio,29. Phobien,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_zwang_denk_5] = 1,,,,mg_b31aae_final,,
p30_zwangsdenken_final,combined_questionnaire_final,,radio,30. Zwangsdenken,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_zwang_denk_5] = 1,,,,mg_b31aae_final,,
p31_zwangsimpulse_final,combined_questionnaire_final,,radio,31. Zwangsimpulse,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_zwang_denk_5] = 1,,,,mg_b31aae_final,,
p32_zwangshandlungen_final,combined_questionnaire_final,,radio,32. Zwangshandlungen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_zwang_denk_5] = 1,,,,mg_b31aae_final,,
on_wahn_denk_6,combined_questionnaire_final,Wahn,radio,Wahn,"1, ausklappen",,,,,,,,,,,,
p33_wahnstimmung_final,combined_questionnaire_final,,radio,33. Wahnstimmung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p34_wahnwahrnehmung_final,combined_questionnaire_final,,radio,34. Wahnwahrnehmung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p35_wahneinfall_final,combined_questionnaire_final,,radio,35. Wahneinfall,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p36_wahngedanken_final,combined_questionnaire_final,,radio,36. Wahngedanken,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p37_systematisierter_wahn_final,combined_questionnaire_final,,radio,37. systematisierter Wahn,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p38_wahndynamik_final,combined_questionnaire_final,,radio,38. Wahndynamik,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p39_beziehungswahn_final,combined_questionnaire_final,,radio,39. Beziehungswahn,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p40_beeinträchtigungs_verfolgungswahn_final,combined_questionnaire_final,,radio,40. Beeinträchtigungs-/Verfolgungswahn,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p41_eifersuchtswahn_final,combined_questionnaire_final,,radio,41. Eifersuchtswahn,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p42_schuldwahn_final,combined_questionnaire_final,,radio,42. Schuldwahn,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p43_verarmungswahn_final,combined_questionnaire_final,,radio,43. Verarmungswahn,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p44_hypochondrischer_wahn_final,combined_questionnaire_final,,radio,44. Hypochondrischer Wahn,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p45_grössenwahn_final,combined_questionnaire_final,,radio,45. Größenwahn,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
p46_andere_wahninhalte_final,combined_questionnaire_final,,radio,46. andere Wahninhalte,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_wahn_denk_6] = 1,,,,mg_52d47e_final,,
on_off_täusch_7,combined_questionnaire_final,Sinnestäuschungen,radio,Sinnestäuschungen,"1, ausklappen",,,,,,,,,,,,
p47_illusionen_final,combined_questionnaire_final,,radio,47. Illusionen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_taeusch_7] = 1,,,,mg_3409a0_final,,
p48_stimmenhören_final,combined_questionnaire_final,,radio,48. Stimmenhören,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_taeusch_7] = 1,,,,mg_3409a0_final,,
p49_andere_akustische_halluzinationen_final,combined_questionnaire_final,,radio,49. andere akustische Halluzinationen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_taeusch_7] = 1,,,,mg_3409a0_final,,
p50_optische_halluzinationen_final,combined_questionnaire_final,,radio,50. Optische Halluzinationen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_taeusch_7] = 1,,,,mg_3409a0_final,,
p51_körperhalluzinationen_final,combined_questionnaire_final,,radio,51. Körperhalluzinationen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_taeusch_7] = 1,,,,mg_3409a0_final,,
p52_geruchs_geschmackshalluzinationen_final,combined_questionnaire_final,,radio,52. Geruchs-/Geschmackshalluzinationen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_taeusch_7] = 1,,,,mg_3409a0_final,,
on_off_ich_8,combined_questionnaire_final,Ich - Störungen,radio,Ich - Störungen,"1, ausklappen",,,,,,,,,,,,
p53_derealisation_final,combined_questionnaire_final,,radio,53. Derealisation,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_ich_8] = 1,,,,mg_1d2cc9_final,,
p54_depersonalisation_final,combined_questionnaire_final,,radio,54. Depersonalisation,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_ich_8] = 1,,,,mg_1d2cc9_final,,
p55_gedankenausbreitung_final,combined_questionnaire_final,,radio,55. Gedankenausbreitung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_ich_8] = 1,,,,mg_1d2cc9_final,,
p56_gedankenentzug_final,combined_questionnaire_final,,radio,56. Gedankenentzug,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_ich_8] = 1,,,,mg_1d2cc9_final,,
p57_gedankeneingebung_final,combined_questionnaire_final,,radio,57. Gedankeneingebung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_ich_8] = 1,,,,mg_1d2cc9_final,,
p58_andere_fremdbeeinflussungserlebnisse_final,combined_questionnaire_final,,radio,58. andere Fremdbeeinflussungserlebnisse,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_ich_8] = 1,,,,mg_1d2cc9_final,,
on_off_affekt_9,combined_questionnaire_final,Störungen der Affektivität,radio,Störungen der Affektivität,"1, ausklappen",,,,,,,,,,,,
p59_ratlos_final,combined_questionnaire_final,,radio,59. ratlos,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p60_gefühl_der_gefühllosigkeit_final,combined_questionnaire_final,,radio,60. Gefühl der Gefühllosigkeit,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p61_affektarm_final,combined_questionnaire_final,,radio,61. affektarm,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p62_störung_der_vitalgefühle_final,combined_questionnaire_final,,radio,62. Störung der Vitalgefühle,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p63_deprimiert_final,combined_questionnaire_final,,radio,63. deprimiert,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p64_hoffnungslos_final,combined_questionnaire_final,,radio,64. hoffnungslos,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p65_ängstlich_final,combined_questionnaire_final,,radio,65. ängstlich,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p66_euphorisch_final,combined_questionnaire_final,,radio,66. euphorisch,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p67_dysphorisch_final,combined_questionnaire_final,,radio,67. dysphorisch,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p68_gereizt_final,combined_questionnaire_final,,radio,68. gereizt,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p69_innerlich_unruhig_final,combined_questionnaire_final,,radio,69. innerlich unruhig,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p70_klagsam_jammerig_final,combined_questionnaire_final,,radio,70. klagsam/jammerig,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p71_insuffizienzgefühle_final,combined_questionnaire_final,,radio,71. Insuffizienzgefühle,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p72_gesteigertes_selbstwertgefühl_final,combined_questionnaire_final,,radio,72. gesteigertes Selbstwertgefühl,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p73_schuldgefühle_final,combined_questionnaire_final,,radio,73. Schuldgefühle,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p74_verarmungsgefühle_final,combined_questionnaire_final,,radio,74. Verarmungsgefühle,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
